ABONATII RESTANTI AI SISTEMULUI DE ENERGIE ELECTRICA

Ionel Agrigoroaei, Bd Eroilor 7 Brasov
Niculae Badalau, Str Aurel Vlaicu 143 Suceava
Viorel-Riceard Badea, Bd Aviatorilor 300 Bucuresti
Tudor Barbu, Aleea Nucilor 23 Sibiu
Neculai Bereanu, Aleea Ciucas 1 Timisoara
Catalin Boboc, Str Maior 38 Craiova
Marius-Sorin-Ovidiu Bota, Bd Prezan 11 Iasi
Ristoiu Dumitru, Str Horea 1 Botosani
Dicu Tiberiu, Str Garii 12 Piatra Neamt
Modoi Oana-Cristina, Str B. P. Hasdeu 92 Tulcea
Begy Robert, Str Primaverii 76 Targoviste
Botezan Camelia-Sabina, B-dul Unirii 654 Bucuresti
Ozunu Alexandru, Aleea Merilor 12 Zalau
